,CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel
149,150,44,Female,UK,44440,9,1,5,Medium,Silver
150,151,26,Male,UK,75022,1,7,12,Low,Gold
151,152,32,Male,Canada,96759,10,1,9,Medium,Silver
152,153,32,Female,USA,114282,5,2,15,High,Bronze
153,154,43,Female,Canada,91845,3,4,11,Medium,Gold
154,155,59,Male,France,104405,9,3,16,Low,Gold
155,156,30,Female,France,36871,7,5,5,Medium,Bronze
156,157,68,Female,Germany,73294,4,10,3,Medium,Gold
157,158,49,Male,USA,86112,5,8,1,Low,Gold
158,159,56,Female,UK,50403,9,5,13,Medium,Bronze
159,160,66,Male,USA,49312,4,2,7,Low,Silver
160,161,69,Female,Germany,95901,7,8,9,Low,Silver
161,162,49,Female,UK,59912,5,9,1,Medium,Bronze
162,163,21,Male,Canada,64783,1,1,2,Low,Bronze
163,164,47,Male,UK,48172,1,8,5,Low,Silver
164,165,54,Male,France,57353,6,4,7,Medium,Silver
165,166,40,Male,Canada,67987,2,7,20,Low,Silver
166,167,56,Male,UK,59206,5,7,4,High,Gold
167,168,62,Male,Canada,94493,2,10,10,High,Silver
168,169,32,Female,France,110154,10,8,8,Medium,Bronze
169,170,60,Female,France,66852,1,6,14,High,Bronze
170,171,46,Male,USA,60850,8,4,5,Low,Gold
171,172,53,Male,France,95639,4,8,4,Medium,Silver
172,173,30,Male,France,37706,10,9,15,Low,Silver
173,174,49,Female,France,65517,5,10,12,Low,Gold
174,175,24,Female,Germany,61501,6,1,2,High,Gold
175,176,68,Female,France,117771,6,3,9,High,Silver
176,177,39,Female,USA,114651,4,5,9,Medium,Gold
177,178,45,Male,Canada,74007,2,9,17,Low,Gold
178,179,19,Female,Germany,85498,2,8,16,High,Bronze
179,180,59,Female,Canada,77155,1,7,18,Low,Silver
180,181,62,Female,Canada,42755,5,6,19,Low,Bronze
181,182,23,Male,USA,41681,6,8,2,Medium,Silver
182,183,45,Female,Germany,93484,10,1,1,High,Gold
183,184,45,Male,UK,63682,2,2,12,Low,Gold
184,185,61,Female,France,68904,3,8,2,High,Bronze
185,186,61,Female,Canada,49947,3,6,14,Medium,Gold
186,187,37,Female,Canada,51696,7,7,19,Low,Silver
187,188,47,Male,USA,56756,8,5,3,High,Bronze
188,189,28,Female,USA,103912,2,7,2,High,Bronze
189,190,45,Female,USA,113093,5,9,2,Low,Gold
190,191,42,Male,Germany,85553,7,5,11,High,Bronze
191,192,56,Female,France,37624,8,7,2,Medium,Bronze
192,193,50,Female,Germany,106523,10,4,17,Low,Bronze
193,194,18,Female,USA,96950,3,5,12,High,Bronze
194,195,44,Female,USA,63044,6,10,12,Medium,Silver
195,196,69,Female,Canada,107370,9,5,17,Medium,Silver
196,197,30,Male,Germany,58424,4,5,1,Low,Bronze
197,198,58,Female,Germany,58791,6,3,8,Medium,Silver
198,199,20,Female,France,108408,4,5,7,Low,Bronze
199,200,56,Male,Germany,30250,5,6,7,Low,Silver
200,201,23,Male,France,76475,3,7,10,Low,Gold
201,202,25,Female,UK,43803,4,4,5,Low,Silver
202,203,44,Female,France,43923,3,3,20,High,Gold
203,204,26,Female,USA,74616,4,8,14,Medium,Bronze
204,205,54,Male,UK,69049,6,5,7,Medium,Bronze
205,206,50,Female,Canada,75680,2,7,19,Low,Silver
206,207,68,Male,Canada,77689,10,8,11,Low,Silver
207,208,59,Male,Canada,36719,1,9,14,Medium,Bronze
208,209,61,Male,USA,60000,8,6,3,High,Bronze
209,210,41,Female,Canada,64287,3,10,6,High,Bronze
210,211,32,Female,France,75667,4,10,12,High,Gold
211,212,49,Female,USA,90570,4,7,1,Low,Silver
212,213,49,Male,Germany,66360,4,8,19,High,Silver
213,214,41,Female,USA,108649,8,6,6,High,Silver
214,215,58,Female,USA,112683,4,6,4,Low,Bronze
215,216,69,Male,Germany,100685,3,2,14,High,Silver
216,217,66,Male,France,38141,6,10,11,High,Gold
217,218,66,Male,UK,88668,2,5,7,Medium,Silver
218,219,69,Male,Germany,30924,10,3,6,Medium,Silver
219,220,29,Male,USA,97291,9,2,19,Low,Gold
220,221,56,Female,Canada,103502,5,5,19,Medium,Gold
221,222,19,Male,Germany,109568,7,6,11,Medium,Silver
222,223,20,Female,Germany,67503,1,3,14,Low,Gold
223,224,66,Male,UK,102757,2,7,13,Low,Bronze
224,225,54,Female,USA,88958,3,3,12,High,Silver
225,226,66,Female,Canada,111710,4,3,13,High,Bronze
226,227,34,Male,Canada,62927,10,6,1,High,Silver
227,228,66,Male,UK,112314,3,9,12,Medium,Bronze
228,229,19,Female,Canada,116859,2,2,11,Medium,Silver
229,230,19,Male,France,81058,6,6,19,High,Silver
230,231,45,Male,Germany,48802,1,10,5,Medium,Gold
231,232,40,Male,Germany,59862,8,5,16,Low,Bronze
232,233,54,Male,Canada,39971,1,4,17,High,Silver
233,234,49,Male,Canada,87032,10,10,3,High,Bronze
234,235,50,Male,Canada,70729,2,10,12,Medium,Bronze
235,236,18,Male,Germany,38515,3,2,2,High,Bronze
236,237,36,Male,Canada,54076,4,8,17,Low,Silver
237,238,19,Female,France,67148,5,3,20,Medium,Silver
238,239,61,Female,France,77342,4,4,12,Medium,Gold
239,240,43,Male,Germany,65400,6,9,12,Low,Gold
240,241,49,Male,USA,75737,3,9,12,High,Bronze
241,242,23,Female,USA,57069,8,6,8,High,Bronze
242,243,49,Male,USA,70679,2,10,8,Medium,Silver
243,244,21,Male,France,109046,9,3,8,High,Bronze
244,245,28,Male,UK,51702,7,7,5,Low,Silver
245,246,34,Male,USA,116036,8,2,6,High,Gold
246,247,55,Female,UK,101153,6,7,12,Low,Silver
247,248,41,Male,Germany,102364,5,4,20,Medium,Bronze
248,249,22,Female,France,78538,5,6,14,Medium,Bronze
249,250,69,Male,USA,115188,7,9,13,Low,Gold
250,251,51,Female,France,98423,4,7,7,High,Gold
251,252,23,Female,Germany,91710,1,8,8,High,Bronze
252,253,39,Female,France,79740,6,9,3,Medium,Silver
253,254,28,Male,Canada,95195,5,5,19,High,Gold
254,255,65,Male,USA,59050,7,1,8,Medium,Bronze
255,256,33,Male,France,112862,1,8,17,Low,Bronze
256,257,50,Female,France,39759,7,4,6,Medium,Gold
257,258,26,Male,France,115027,10,6,20,Medium,Gold
258,259,23,Male,Germany,31712,2,7,14,High,Gold
259,260,33,Female,USA,78564,7,5,20,Medium,Silver
260,261,46,Male,USA,79558,10,9,12,Low,Gold
261,262,20,Female,Canada,119233,2,1,15,Low,Silver
262,263,37,Male,Canada,93883,3,8,12,Medium,Silver
263,264,53,Female,France,55430,7,7,16,Medium,Gold
264,265,36,Female,USA,53933,2,3,14,High,Silver
265,266,43,Female,USA,117169,4,1,2,Low,Silver
266,267,20,Female,France,90651,9,1,11,Low,Silver
267,268,36,Female,UK,104142,6,1,6,Low,Gold
268,269,37,Female,USA,102111,8,9,19,Low,Bronze
269,270,49,Female,France,70789,9,4,16,High,Silver
270,271,24,Male,France,99700,9,5,19,Medium,Gold
271,272,69,Female,UK,74176,7,6,11,Medium,Bronze
272,273,58,Male,Canada,88410,10,1,19,Medium,Gold
273,274,50,Male,France,99062,2,8,1,High,Gold
274,275,57,Male,USA,70081,6,1,18,Medium,Bronze
275,276,56,Female,Canada,84334,8,10,5,Low,Bronze
276,277,35,Male,Canada,69195,4,6,12,High,Silver
277,278,57,Female,Canada,115698,9,4,11,Low,Gold
278,279,18,Male,France,80784,8,2,20,Low,Gold
279,280,28,Female,USA,41227,1,6,2,Low,Gold
280,281,45,Female,UK,33831,8,2,7,Low,Silver
281,282,42,Male,Germany,31937,9,8,10,High,Silver
282,283,67,Female,Germany,111550,1,6,19,Low,Bronze
283,284,40,Male,Canada,89850,9,6,8,High,Gold
284,285,48,Female,Germany,112904,1,2,19,Medium,Bronze
285,286,47,Female,Germany,79960,10,9,7,Medium,Gold
286,287,59,Male,France,86941,7,5,1,Low,Gold
287,288,52,Female,UK,62474,2,7,18,High,Gold
288,289,24,Male,Germany,74107,4,3,16,Medium,Gold
289,290,33,Male,UK,47608,8,9,5,Low,Gold
290,291,43,Male,Germany,112292,8,4,7,Low,Silver
291,292,65,Female,Canada,115313,10,9,11,High,Gold
292,293,69,Male,Canada,114296,7,1,14,Low,Silver
293,294,66,Male,UK,93854,4,9,17,Low,Bronze
294,295,19,Male,UK,115623,4,2,9,High,Silver
295,296,18,Male,UK,113122,6,10,15,Medium,Silver
296,297,65,Female,UK,109998,10,2,19,High,Silver
297,298,29,Female,USA,107967,5,9,3,High,Bronze
298,299,22,Male,Canada,103920,9,2,12,Low,Silver
299,300,54,Male,Germany,83716,5,7,1,Low,Silver
300,301,49,Male,USA,31265,6,8,14,Medium,Bronze
301,302,26,Male,UK,84692,8,1,14,Medium,Bronze
302,303,58,Male,Germany,100208,10,6,6,Low,Bronze
303,304,52,Male,Canada,67296,4,5,2,Medium,Silver
304,305,36,Female,UK,40286,10,7,10,Low,Gold
305,306,65,Male,France,60119,10,10,15,Low,Silver
306,307,33,Male,UK,117437,2,5,12,High,Gold
307,308,20,Male,Germany,97999,2,4,19,High,Silver
308,309,37,Male,Canada,65799,10,2,2,Medium,Gold
309,310,41,Male,UK,31830,5,10,15,Medium,Silver
310,311,50,Male,Canada,111508,2,1,20,Medium,Silver
311,312,41,Female,USA,63322,2,3,13,Low,Gold
312,313,69,Female,France,56038,4,7,18,Medium,Bronze
313,314,28,Male,USA,65371,7,6,20,High,Bronze
314,315,66,Female,France,119419,1,7,2,Medium,Bronze
315,316,25,Male,USA,46770,5,8,2,Low,Silver
316,317,53,Female,Canada,69764,3,8,1,Low,Bronze
317,318,55,Male,Canada,68457,3,10,3,Medium,Gold
318,319,57,Male,USA,83082,8,4,19,Low,Silver
319,320,37,Male,Germany,88761,4,4,12,Medium,Gold
320,321,52,Female,USA,71481,6,1,1,Medium,Silver
321,322,65,Female,UK,46336,10,5,3,Medium,Gold
322,323,42,Male,Germany,37337,1,1,12,Low,Silver
323,324,52,Male,Canada,48465,2,6,12,Medium,Silver
324,325,42,Female,USA,56777,8,4,12,High,Silver
325,326,46,Male,Germany,72113,6,8,2,High,Silver
326,327,35,Male,UK,36856,8,5,20,High,Bronze
327,328,63,Male,France,89381,7,7,6,Medium,Silver
328,329,35,Female,Canada,108380,6,6,16,Low,Gold
329,330,19,Female,Germany,103732,3,6,13,Medium,Silver
330,331,52,Male,Germany,36169,5,10,10,High,Bronze
331,332,33,Male,Germany,102179,7,8,5,Low,Silver
332,333,58,Female,USA,36888,4,2,17,High,Gold
333,334,53,Male,Canada,47742,6,7,4,Low,Gold
334,335,50,Male,Canada,115400,1,5,15,Low,Gold
335,336,21,Male,USA,64585,2,3,12,High,Gold
336,337,50,Male,USA,86411,8,3,20,Low,Bronze
337,338,31,Female,USA,112646,6,5,8,High,Silver
338,339,38,Male,UK,31620,10,2,13,Low,Silver
339,340,65,Male,Germany,78661,6,7,5,High,Gold
340,341,37,Male,UK,84674,8,6,18,High,Gold
341,342,25,Female,Canada,101153,8,10,7,High,Gold
342,343,24,Female,USA,75097,1,4,10,High,Gold
343,344,20,Female,Germany,62227,9,8,8,Medium,Bronze
344,345,34,Male,France,106958,4,5,2,Low,Silver
345,346,50,Male,Germany,38441,2,7,2,High,Bronze
346,347,65,Male,France,30330,3,8,12,Low,Silver
347,348,29,Female,Germany,97408,7,8,3,High,Gold
348,349,68,Female,USA,62480,9,6,8,Medium,Gold
349,350,39,Male,France,35482,7,9,11,High,Gold
350,351,39,Male,France,54025,1,8,11,Medium,Silver
351,352,63,Female,Canada,35539,6,5,10,High,Silver
352,353,47,Male,Germany,35569,6,2,19,Low,Bronze
353,354,55,Male,UK,44199,5,9,19,High,Silver
354,355,55,Male,UK,39406,1,10,18,Low,Gold
355,356,62,Female,Canada,118433,5,10,12,Medium,Bronze
356,357,68,Male,Canada,52806,5,9,7,Low,Gold
357,358,25,Female,Canada,60769,8,5,7,High,Silver
358,359,44,Male,USA,82544,5,8,13,High,Bronze
359,360,44,Female,USA,35117,5,1,16,High,Bronze
360,361,51,Female,USA,77801,9,10,15,High,Bronze
361,362,38,Female,USA,105428,6,8,19,Medium,Gold
362,363,47,Male,Canada,68276,9,2,11,Low,Bronze
363,364,50,Male,Canada,34706,10,2,13,Medium,Bronze
364,365,45,Male,USA,39845,9,4,3,Medium,Gold
365,366,64,Female,USA,59941,4,3,20,High,Gold
366,367,50,Female,France,73929,3,9,12,Medium,Bronze
367,368,22,Male,Germany,61529,7,10,6,Medium,Silver
368,369,65,Female,France,68554,4,3,3,Medium,Bronze
369,370,36,Female,Germany,115941,6,9,6,Low,Gold
370,371,21,Male,USA,77185,6,5,15,Low,Silver
371,372,52,Female,USA,35722,8,8,1,Medium,Gold
372,373,66,Male,USA,59304,9,7,12,Low,Bronze
373,374,34,Male,France,108282,7,8,1,High,Bronze
374,375,61,Female,Canada,119879,6,9,5,Medium,Silver
375,376,45,Male,Germany,115373,1,2,13,High,Bronze
376,377,47,Female,France,100310,4,9,6,Low,Gold
377,378,46,Male,USA,65654,2,1,13,Low,Silver
378,379,63,Male,Canada,99003,6,8,10,Low,Bronze
379,380,23,Male,France,84037,2,4,17,High,Bronze
380,381,52,Male,Germany,35389,5,4,2,Medium,Silver
381,382,58,Male,USA,75522,7,4,17,High,Bronze
382,383,54,Male,Germany,103172,6,6,12,High,Gold
383,384,41,Male,USA,58540,4,10,7,Low,Silver
384,385,46,Female,USA,61144,5,10,10,Medium,Silver
385,386,66,Male,UK,63196,6,5,13,High,Bronze
386,387,63,Male,Germany,40820,8,6,14,Medium,Silver
387,388,48,Female,Canada,98706,10,5,6,Medium,Gold
388,389,52,Female,USA,84715,4,5,2,Low,Silver
389,390,50,Male,Canada,111503,6,5,7,Low,Bronze
390,391,69,Female,France,67129,9,2,19,Medium,Silver
391,392,38,Male,USA,87565,9,10,12,High,Silver
392,393,49,Male,USA,52664,9,5,7,Medium,Gold
393,394,40,Female,USA,91333,4,3,19,Medium,Silver
394,395,50,Female,Canada,75204,7,9,11,Medium,Bronze
395,396,20,Male,UK,30126,6,10,5,Low,Gold
396,397,35,Female,Germany,72223,4,10,20,Medium,Silver
397,398,42,Male,USA,73286,10,6,16,Low,Bronze
398,399,59,Male,Germany,69996,8,1,9,Low,Bronze
399,400,48,Female,Germany,56206,7,9,7,High,Gold
400,401,20,Male,Germany,47808,9,8,18,High,Gold
401,402,57,Female,Canada,118502,9,10,8,Medium,Gold
402,403,63,Female,Germany,90692,6,9,16,Medium,Bronze
403,404,41,Female,France,78808,6,6,5,Medium,Silver
404,405,67,Male,Canada,67006,9,2,6,High,Gold
405,406,49,Male,Canada,46698,8,3,8,Medium,Silver
406,407,64,Male,France,90302,8,10,14,High,Bronze
407,408,39,Female,UK,44364,6,8,9,High,Gold
408,409,40,Male,UK,95034,3,9,3,Low,Gold
409,410,19,Female,USA,53513,2,9,5,High,Bronze
410,411,44,Female,UK,45057,10,1,18,High,Bronze
411,412,59,Male,USA,93959,4,9,4,Medium,Bronze
412,413,19,Female,Germany,106401,5,9,20,Low,Gold
413,414,43,Male,USA,102247,2,2,17,Low,Gold
414,415,34,Female,UK,52708,9,1,20,Low,Silver
415,416,57,Male,USA,37692,6,1,14,Medium,Gold
416,417,50,Female,Canada,73845,1,3,3,Medium,Bronze
417,418,26,Female,UK,65594,3,1,8,Medium,Gold
418,419,60,Male,USA,49831,1,4,5,High,Silver
419,420,65,Male,UK,102086,4,10,4,High,Gold
420,421,56,Male,France,73504,9,4,4,Low,Bronze
421,422,46,Male,UK,37223,4,8,1,Low,Bronze
422,423,59,Male,France,33336,7,6,19,Medium,Silver
423,424,43,Female,USA,108970,8,2,7,Medium,Silver
424,425,52,Female,France,51842,10,5,17,Medium,Silver
425,426,67,Male,UK,49682,8,9,7,High,Gold
426,427,42,Male,Canada,66831,9,3,12,Low,Gold
427,428,41,Female,France,40989,1,2,17,High,Silver
428,429,30,Female,UK,70014,7,2,3,High,Gold
429,430,24,Male,Canada,50754,5,6,17,High,Silver
430,431,53,Male,Germany,99984,9,7,1,Low,Gold
431,432,62,Male,France,106758,5,8,2,High,Gold
432,433,37,Female,France,47627,2,1,8,High,Silver
433,434,18,Female,USA,82483,5,3,11,Low,Gold
434,435,25,Female,Germany,82014,9,10,8,High,Gold
435,436,63,Female,USA,118478,1,4,10,Medium,Gold
436,437,33,Male,USA,104116,7,8,1,Low,Silver
437,438,31,Male,UK,35408,3,10,5,Medium,Silver
438,439,29,Male,USA,82527,10,10,6,Low,Silver
439,440,68,Female,France,109855,4,2,20,High,Silver
440,441,40,Female,USA,101610,4,10,13,Low,Gold
441,442,32,Male,Canada,107025,10,6,5,Low,Bronze
442,443,45,Male,France,38127,2,4,1,Low,Gold
443,444,51,Female,UK,43960,3,8,5,Medium,Bronze
444,445,19,Male,USA,73368,3,1,5,High,Bronze
445,446,49,Male,Canada,41426,7,1,7,High,Bronze
446,447,40,Female,Canada,66910,10,10,2,Medium,Gold
447,448,39,Male,France,54630,8,9,12,High,Silver
448,449,68,Female,USA,73274,8,4,14,Medium,Silver
449,450,42,Male,Canada,108368,9,2,14,Medium,Bronze
450,451,39,Male,USA,48373,2,4,17,Low,Silver
451,452,39,Male,France,99559,10,6,15,Medium,Silver
452,453,66,Female,Germany,105071,8,3,19,Low,Silver
453,454,69,Female,Canada,65804,6,1,2,High,Gold
454,455,59,Female,UK,65897,4,9,4,High,Bronze
455,456,23,Female,USA,90011,4,7,5,Low,Silver
456,457,32,Male,France,79043,9,2,19,High,Silver
457,458,60,Female,France,89665,4,9,12,High,Gold
458,459,54,Male,UK,73692,2,4,12,High,Gold
459,460,50,Male,Germany,41386,5,6,20,High,Bronze
460,461,25,Male,USA,114115,2,8,1,Low,Gold
461,462,61,Male,Germany,110184,5,4,15,Low,Bronze
462,463,61,Male,France,80385,7,5,10,Medium,Silver
463,464,22,Male,Canada,98340,2,7,5,High,Gold
464,465,56,Male,Germany,116938,9,5,1,High,Gold
465,466,21,Female,Canada,77377,1,4,10,Medium,Silver
466,467,23,Male,UK,71104,10,9,20,High,Bronze
467,468,62,Female,France,87944,9,7,11,High,Bronze
468,469,49,Male,Canada,116788,4,2,12,High,Silver
469,470,69,Female,USA,60597,3,1,11,High,Gold
470,471,47,Male,France,81573,10,9,4,Medium,Bronze
471,472,64,Female,UK,45335,3,3,12,High,Gold
472,473,52,Male,USA,96915,9,10,9,High,Silver
473,474,57,Female,France,88126,7,9,15,Medium,Silver
474,475,69,Female,Germany,86870,2,6,7,Low,Silver
475,476,33,Female,France,74495,3,2,1,High,Silver
476,477,30,Male,USA,71957,1,5,20,Medium,Silver
477,478,67,Male,Canada,61892,5,6,13,Low,Silver
478,479,59,Female,Canada,69653,5,7,5,High,Gold
479,480,47,Female,France,37948,9,4,9,High,Silver
480,481,36,Male,France,100940,10,2,3,Medium,Bronze
481,482,34,Male,UK,117393,3,9,15,Low,Bronze
482,483,36,Male,Germany,39864,6,10,9,High,Bronze
483,484,45,Male,UK,93170,9,4,6,Medium,Gold
484,485,43,Male,UK,112109,3,7,14,Medium,Silver
485,486,54,Female,Canada,74765,7,1,20,Low,Bronze
